sha256,pkg_name,apk_size,dex_date,markets
664081BFF33A95FCDF0B42408BDA7F2896AF62768782C52BC43C8227E55A1187,com.jarsilio.android.waveup,1269183,2016-04-11 08:04:44,fdroid
6B597A6CDF2534B33F6EFD5976170E6562C4DE84B46478AF53401F8705F45157,com.SecUpwN.AIMSICD,2212754,2016-02-28 07:15:02,fdroid
6E5E3166B8B75EC277D97BE8A904666716D443E5A2B745460756893E79311A42,byrne.utilities.hashpass,30951,2014-07-26 05:03:50,fdroid
741416710EEF221E7EBFB07064EE876A810730EB71815BF7070AD106893A6BD0,org.kaziprst.android.ndfilter,54429,2014-10-31 06:16:54,fdroid
7AD4B182757B4E177C2E27975764CC0E94273076283E6C881E2B1D8CDC149B7C,org.elijaxapps.androidxmrigminer,7369147,1980-01-01 00:00:00,fdroid
81735C2C0BF6FD7CFE3A84C098FB01FAEE040CE733640E22C28D05BBAA483A79,dnsfilter.android,210165,1980-01-01 00:00:00,fdroid
82877C0662BD7A9557B48F97B124C0EBBCC952C3B3337707CC0376D40E4A3FAB,ohi.andre.consolelauncher,1467917,2016-07-07 23:43:40,fdroid
85CBBE0A12688A57DE66CDAC07143A810CAD5C7876BC08ADADEEC130D8DA0070,de.jkliemann.parkendd,1328993,2016-05-23 20:44:32,fdroid
8DE165D5EB6CABA5519F15F891966C04E12E9916C9774A36B225DD62B2BDA9A9,org.microg.nlp,1187235,2015-09-20 08:11:08,fdroid
8FCB72782FFE1B02FE80AE631852C054199A36F15AFE35BA0F29FA8A3FB360F3,org.projectmaxs.module.smssend,73581,2018-01-16 06:06:36,fdroid
90D95B79429FA066373886CEF8212CF9F4A3A712C82857BE23D439971CF87872,org.traccar.client,5621670,1981-01-01 01:01:02,fdroid
92118FE239913240DC711FDBDA3680C644C33929D91448C3B2507FB5CF78A6A9,ro.ieval.fonbot,137680,2014-09-23 06:23:08,fdroid
93BA175541D9CC13B3F26C80FDCAC6B2F48B53293F5786A6E7B13D400B25205D,se.erikofsweden.findmyphone,346805,2018-03-15 00:30:20,fdroid
94D852B061D82C7C0266D82F55DEF7222F7D50D7077F416CFEDB2F8109E5F34E,ch.abertschi.adfree,4779438,1980-01-01 00:00:00,fdroid
98AE9FB6CA2D27C7E158ECA99D85237E23E23E27E0B293821EA3439EFB967F82,com.jellyshack.block6,2389722,1980-01-01 00:00:00,fdroid
9BBBAB397FE23B68476A7ACA42D5CF32461140B84ADE59D9FCE611CC2614DD7B,io.github.tiagoshibata.gpsdclient,85527,1980-01-01 00:00:00,fdroid
9C012BFE7C2986D7B436C5BB9608EF313CB6A494561139DEB8FE8E3E6CC3B849,com.matejdro.pebbledialer,2469982,2016-10-10 07:14:56,fdroid
A3411ED7B27612E4FE465F550EF7071AC6C2BD524CEE94CF9C6802A573143EFD,org.billthefarmer.siggen,73455,1980-01-01 00:00:00,fdroid
A874F3C9ABC7A91DC7D74BBD9BFE74B18A14E3E3EE997F329675E1C37DB755BC,org.moire.opensudoku,805271,1980-01-01 00:00:00,fdroid
AB38BE6AA7CEC6D48B0AA795A27DEDC6C6438733EB83B38FF1E166226696F6E8,pc.javier.seguime,3019986,1980-01-01 00:00:00,fdroid
AF11EF06E06EE0F442EDC856E7637BFDF096EC7B667380893A7F4FD46014DB99,com.notriddle.null_launcer,12825,2014-03-18 06:43:04,fdroid
B1CAD685AB61D0EC91D454798123D5B859AB2957CE62117CF61DDD9A341E408D,com.aripuca.tracker,367457,2012-10-11 16:37:06,fdroid
B44412658F0352AA68E664B6596C0146B0C66879E6AD07143ACFDA8BEE607D0C,de.nulide.findmydevice,3582712,1980-01-01 00:00:00,fdroid
B5E7625FD560E2DBA48BA8D9B20A2876912EE3E2662BA3148C26357017A8E14E,com.github.axet.callrecorder,6194962,1980-01-01 00:00:00,fdroid
BB5949F01F503F4A9A2F45FDE1A6B79502C0A0F15D30D86ADAEB36554B68D717,org.projectvoodoo.simplecarrieriqdetector,38071,2012-07-21 21:14:16,fdroid
C024568A9DDD0A9B9B1151D4DA293A55C5B0E58BAD2E9FE0FCB29105ABB30712,com.genonbeta.TrebleShot,2522444,1980-01-01 00:00:00,fdroid
C0765B8DE2549D63EDAB173127FA57CB081EA1D074F9B7B29CB669B8FFF84792,com.ulicae.cinelog,2844463,1980-01-01 00:00:00,fdroid
C3B703AFA240BF9810CB6CB16372E2DD6E6CCB89CA86992E2C1D20E7680484A2,net.sourceforge.opencamera,1641033,1980-01-01 00:00:00,fdroid
C445D1BE9FCDE0504BBE13916066CF28E1F1A6384A6C6B2E55435D9C2879D597,com.alaskalinuxuser.shipcaptainandcrew,2431891,1980-01-01 00:00:00,fdroid
CA6C1BE8A7F2D598C97A7C2CB1A39EF194FC365B0CCB70B0EBCAADCE49CDA633,indrora.atomic,1882812,2015-11-08 12:48:18,fdroid
CB688F2E0574029D6421F683CF8397C6563A033A251BFD8BB0E66649EEB68710,im.r_c.android.clearweather,1616498,2016-06-24 08:05:06,fdroid
CCA70159A6A3F5940AB244F3AF00F7D25210FF6E8EEAE49991185DFDB54B1575,io.va.exposed,7373611,1980-01-01 00:00:00,fdroid
D43A9271BDD683D23165CEBDA29A95E48F2968605B9AD5B7B48BDC239CAC9435,click.dummer.imagesms,1830024,1980-01-01 00:00:00,fdroid
D500646B348B4160A1A86691DF82DBD26AA66E4EB15BA7C0CF0E4C6ED97D2581,com.github.axet.smsgate,3034058,1980-01-01 00:00:00,fdroid
D68DAAF3B237F3BA386A0AE6A2E1CF56F8CBEB39F618EA44E9417B3A6717C6CC,tk.jordynsmediagroup.simpleirc.fdroid,1830254,1980-01-01 00:00:00,fdroid
DBB50D18E4E006917B60CA6C4E5C747BA8938C813C0C8A75B41D3DD0DB868AF8,com.dozingcatsoftware.bouncy,2251644,2011-08-04 07:46:54,fdroid
DFEFD41C3DBBC713D2F72AD029A56B568371F3EB76442E16A18C66950E4B4FE2,de.j4velin.pedometer,318283,1980-01-01 00:00:00,fdroid
E02FB65E6603DBC382CB1182CC0D8EF4297D0C160CDE1074125E0092934CD0D4,ru.meefik.busybox,6155220,1980-01-01 00:00:00,fdroid
E2453D0C5BD99C019C38561DA5CDFFF887E99C7F7F0D9875CF7FF50E69F9728C,org.twistedappdeveloper.statocovid19italia,2550362,1981-01-01 01:01:02,fdroid
E4D119617B057D3BDEC4762C399A749852DEABD50861CEE4294CE580E361A0A2,it.reyboz.screenlock,264564,2014-10-21 05:36:28,fdroid
EB06FAC0048DBF99D80815B882D62A3B30FF877824298BAC489232A80BA78874,net.sourceforge.dibdib.android.dib2qm,457869,1980-01-01 00:00:00,fdroid
F3CB4B0DCDEB20D20E9C211A359BF7C7E764B8A77522C806C5B611F543345DC0,de.rampro.activitydiary,2490739,1980-01-01 00:00:00,fdroid
FEE6CD48FF59BA4667694C9E336C57C6E1E22BC04A1BAA0AD6A29489D35963A3,com.mookie.circo,2788659,1980-01-01 00:00:00,fdroid
